,Year,Team,MVP,Player,mvp,prob_mvp,Binary,Correct
0,2024,Boston Celtics,Jaylen Brown,Jayson Tatum,False,0.88,1.0,False
1,2024,Boston Celtics,Jaylen Brown,Jaylen Brown,True,0.01,0.0,False
2,2023,Denver Nuggets,Nikola Jokic,Jamal Murray,False,0.66,1.0,False
3,2021,Milwaukee Bucks,Giannis Antetokounmpo,Khris Middleton,False,0.93,1.0,False
4,2020,Los Angeles Lakers,LeBron James,Anthony Davis,False,0.9,1.0,False
5,2019,Toronto Raptors,Kawhi Leonard,Pascal Siakam,False,0.55,1.0,False
6,2017,Golden State Warriors,Kevin Durant,Stephen Curry,False,0.5,1.0,False
7,2015,Golden State Warriors,Andre Iguodala,Stephen Curry,False,0.93,1.0,False
8,2010,Los Angeles Lakers,Kobe Bryant,Pau Gasol,False,0.9,1.0,False
9,2009,Los Angeles Lakers,Kobe Bryant,Kobe Bryant,True,0.49,0.0,False
10,2009,Los Angeles Lakers,Kobe Bryant,Pau Gasol,False,0.82,1.0,False
11,2008,Boston Celtics,Paul Pierce,Ray Allen,False,0.81,1.0,False
12,2007,San Antonio Spurs,Tony Parker,Tim Duncan,False,0.53,1.0,False
13,2005,San Antonio Spurs,Tim Duncan,Tim Duncan,True,0.13,0.0,False
14,2005,San Antonio Spurs,Tim Duncan,Manu GinÃ³bili,False,0.95,1.0,False
15,2004,Detroit Pistons,Chauncey Billups,Richard Hamilton,False,0.83,1.0,False
16,2001,Los Angeles Lakers,Shaquille O'Neal,Kobe Bryant,False,0.67,1.0,False
17,1998,Chicago Bulls,Michael Jordan,Michael Jordan,True,0.03,0.0,False
18,1998,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.51,1.0,False
19,1997,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.84,1.0,False
20,1991,Chicago Bulls,Michael Jordan,Scottie Pippen,False,0.62,1.0,False
21,1989,Detroit Pistons,Joe Dumars,Joe Dumars,True,0.08,0.0,False
22,1988,Los Angeles Lakers,James Worthy,James Worthy,True,0.06,0.0,False
23,1988,Los Angeles Lakers,James Worthy,Magic Johnson,False,0.98,1.0,False
24,1985,Los Angeles Lakers,Kareem Abdul-Jabbar,Magic Johnson,False,0.85,1.0,False
25,1982,Los Angeles Lakers,Magic Johnson,Magic Johnson,True,0.18,0.0,False
26,1980,Los Angeles Lakers,Magic Johnson,Kareem Abdul-Jabbar,False,0.99,1.0,False
27,1979,Seattle SuperSonics,Dennis Johnson,Dennis Johnson,True,0.14,0.0,False
28,1979,Seattle SuperSonics,Dennis Johnson,Jack Sikma,False,0.89,1.0,False
29,1978,Washington Bullets,Wes Unseld,Elvin Hayes,False,0.85,1.0,False
30,1978,Washington Bullets,Wes Unseld,Bob Dandridge,False,0.58,1.0,False
31,1978,Washington Bullets,Wes Unseld,Wes Unseld,True,0.0,0.0,False
32,1977,Portland Trail Blazers,Bill Walton,Maurice Lucas,False,0.55,1.0,False
33,1977,Portland Trail Blazers,Bill Walton,Bob Gross,False,0.72,1.0,False
34,1976,Boston Celtics,Jo Jo White,Dave Cowens,False,0.98,1.0,False
35,1974,Boston Celtics,John Havlicek,Dave Cowens,False,0.52,1.0,False
36,1974,Boston Celtics,John Havlicek,Jo Jo White,False,0.61,1.0,False
37,1973,New York Knicks,Willis Reed,Bill Bradley,False,0.51,1.0,False
38,1973,New York Knicks,Willis Reed,Walt Frazier,False,0.71,1.0,False
39,1973,New York Knicks,Willis Reed,Willis Reed,True,0.0,0.0,False
40,1971,Milwaukee Bucks,Kareem Abdul-Jabbar,Oscar Robertson,False,0.67,1.0,False
41,1971,Milwaukee Bucks,Kareem Abdul-Jabbar,Bob Dandridge,False,0.62,1.0,False
42,1970,New York Knicks,Willis Reed,Willis Reed,True,0.0,0.0,False
43,1970,New York Knicks,Willis Reed,Dave DeBusschere,False,0.52,1.0,False
44,1970,New York Knicks,Willis Reed,Walt Frazier,False,0.91,1.0,False
45,1969,Boston Celtics,Jerry West,John Havlicek,False,1.0,1.0,False
